         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      548    0.008    0.000    0.074    0.000 cgutils.py:936(gep)
     2284    0.008    0.000    0.067    0.000 pystir.py:305(cSTIR_getImageDimensions)
      970    0.008    0.000    0.027    0.000 instructions.py:459(descr)
      324    0.008    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     6126    0.008    0.000    0.008    0.000 multiarray.py:1080(copyto)
      374    0.008    0.000    0.032    0.000 functional.py:1671(norm)
     1866    0.008    0.000    0.184    0.000 module.py:220(__next__)
     6126    0.008    0.000    0.008    0.000 numeric.py:63(_zeros_like_dispatcher)
      500    0.007    0.000    0.025    0.000 controlflow.py:661(_find_loops)
     6126    0.007    0.000    0.007    0.000 multiarray.py:85(empty_like)
     5618    0.007    0.000    0.007    0.000 ir.py:1318(terminator)
     1893    0.007    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     45/7    0.007    0.000    0.094    0.013 ir_utils.py:823(find_potential_aliases)
1178/1094    0.007    0.000    2.466    0.002 templates.py:349(apply)
      160    0.007    0.000    0.044    0.000 numeric.py:2249(isclose)
     1881    0.007    0.000    0.009    0.000 values.py:860(__init__)
     2284    0.007    0.000    0.018    0.000 Utilities.py:35(cpp_int_bits)
     1216    0.007    0.000    0.118    0.000 value.py:187(name)
     2284    0.007    0.000    0.011    0.000 pyiutilities.py:65(intBits)
      351    0.007    0.000    0.200    0.001 context.py:700(load_additional_registries)
     5099    0.007    0.000    0.007    0.000 compiler.py:377(__getattr__)
      170    0.007    0.000    0.007    0.000 {method 'astype' of 'numpy.ndarray' objects}
      943    0.007    0.000    0.014    0.000 functions.py:78(add_error)
      833    0.007    0.000    0.012    0.000 ir.py:1535(get_definition)
     2870    0.007    0.000    0.025    0.000 target_extension.py:120(inherits_from)
     1016    0.007    0.000    0.096    0.000 value.py:250(is_declaration)
     5094    0.007    0.000    0.027    0.000 {built-in method builtins.setattr}
2642/2641    0.007    0.000    0.071    0.000 manager.py:40(__getitem__)
     2539    0.007    0.000    0.010    0.000 ir.py:872(__init__)
      907    0.007    0.000    0.042    0.000 builder.py:756(load)
     1022    0.007    0.000    0.017    0.000 values.py:1091(_to_list)
     1985    0.007    0.000    0.053    0.000 cpu_options.py:16(__repr__)
     2704    0.007    0.000    0.042    0.000 base.py:380(_insert_cast_defn)
     2238    0.007    0.000    0.016    0.000 shape_base.py:362(_stack_dispatcher)
     2238    0.006    0.000    0.010    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
     2704    0.006    0.000    0.042    0.000 base.py:372(_insert_getattr_defn)
     1674    0.006    0.000    0.010    0.000 values.py:575(function_type)
1752/1748    0.006    0.000    0.034    0.000 context.py:517(can_convert)
     5466    0.006    0.000    0.006    0.000 {function _TargetRegistry.__getitem__ at 0x7f66eab0dcf0}
     2704    0.006    0.000    0.042    0.000 base.py:384(_insert_get_constant_defn)
      817    0.006    0.000    0.020    0.000 STIR.py:410(__init__)
     2608    0.006    0.000    0.009    0.000 utils.py:376(key)
     2704    0.006    0.000    0.041    0.000 base.py:376(_insert_setattr_defn)
      153    0.006    0.000    0.031    0.000 numpy_support.py:357(ufunc_find_matching_loop)
      284    0.006    0.000    0.087    0.000 cgutils.py:362(alloca_once)
     2059    0.006    0.000    0.011    0.000 context.py:455(_lookup_global)
     1475    0.006    0.000    0.024    0.000 abc.py:105(__new__)
     1236    0.006    0.000    0.010    0.000 base.py:138(append)
      649    0.006    0.000    0.035    0.000 instructions.py:555(descr)
      907    0.006    0.000    0.020    0.000 instructions.py:439(descr)
      272    0.006    0.000    0.063    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2523    0.006    0.000    0.009    0.000 __init__.py:1455(debug)
     2876    0.006    0.000    0.017    0.000 templates.py:361(<genexpr>)
     1561    0.006    0.000    0.008    0.000 numpy_support.py:339(ufunc_can_cast)
      260    0.006    0.000    0.238    0.001 Gradients.py:313(adjoint)
      583    0.006    0.000    0.048    0.000 context.py:287(find_matching_getattr_template)
     1121    0.006    0.000    0.016    0.000 target_extension.py:52(get_local_target)
      700    0.006    0.000    0.019    0.000 fromnumeric.py:71(_wrapreduction)
     1022    0.006    0.000    0.038    0.000 values.py:1104(__init__)
